epsilon_start,epsilon_min,replay_buffer_size,steps_per_episode,target_update_freq,random_seed,maze_width,maze_height,maze_imperfections,input_dim,n_outputs,log_every,q_log_every,plot_every,train_after,learning_rate,gamma,epsilon_decay_episodes,batch_size,episodes,hidden_layers,activation,run_id,mean_reward,max_reward,min_reward
1.0,0.01,8000,3000,500,42,10,10,5,19,4,1000,500,100,300,5e-05,0.96,0.9,64,3000,"[64, 64, 64]",elu,0,-4.917516851216555,72.64999878406525,-57.850000113248825
1.0,0.01,8000,3000,500,42,10,10,5,19,4,1000,500,100,300,5e-05,0.96,0.9,64,3000,"[128, 128]",elu,1,-12.89501672372222,71.44999867677689,-64.95000019669533
1.0,0.01,8000,3000,500,42,10,10,5,19,4,1000,500,100,300,5e-05,0.96,0.9,128,3000,"[64, 64, 64]",elu,2,-8.554133490532637,73.04999879002571,-60.300000578165054
1.0,0.01,8000,3000,500,42,10,10,5,19,4,1000,500,100,300,5e-05,0.96,0.9,128,3000,"[128, 128]",elu,3,-8.838566803167264,74.04999879002571,-57.299999952316284
1.0,0.01,8000,3000,500,42,10,10,5,19,4,1000,500,100,300,5e-05,0.99,0.9,64,3000,"[64, 64, 64]",elu,4,-16.920149960686764,1.8500001430511475,-72.10000038146973
1.0,0.01,8000,3000,500,42,10,10,5,19,4,1000,500,100,300,5e-05,0.99,0.9,64,3000,"[128, 128]",elu,5,-17.67079998881618,61.199998527765274,-65.09999996423721
1.0,0.01,8000,3000,500,42,10,10,5,19,4,1000,500,100,300,5e-05,0.99,0.9,128,3000,"[64, 64, 64]",elu,6,-18.327266653915245,1.3500000834465027,-65.35000041127205
1.0,0.01,8000,3000,500,42,10,10,5,19,4,1000,500,100,300,5e-05,0.99,0.9,128,3000,"[128, 128]",elu,7,-17.26956667096416,72.94999861717224,-56.500000059604645
1.0,0.01,8000,3000,500,42,10,10,5,19,4,1000,500,100,300,1e-05,0.96,0.9,64,3000,"[64, 64, 64]",elu,8,-21.747399991651378,-4.349999904632568,-55.10000026226044
1.0,0.01,8000,3000,500,42,10,10,5,19,4,1000,500,100,300,1e-05,0.96,0.9,64,3000,"[128, 128]",elu,9,-20.889249977062146,-8.349999904632568,-62.15000036358833
1.0,0.01,8000,3000,500,42,10,10,5,19,4,1000,500,100,300,1e-05,0.96,0.9,128,3000,"[64, 64, 64]",elu,10,-21.65110000311335,-7.750000029802322,-68.64999997615814
1.0,0.01,8000,3000,500,42,10,10,5,19,4,1000,500,100,300,1e-05,0.96,0.9,128,3000,"[128, 128]",elu,11,-21.340399977157514,-4.950000017881393,-51.90000033378601
1.0,0.01,8000,3000,500,42,10,10,5,19,4,1000,500,100,300,1e-05,0.99,0.9,64,3000,"[64, 64, 64]",elu,12,-22.31075000166893,-7.5999999940395355,-57.150000393390656
1.0,0.01,8000,3000,500,42,10,10,5,19,4,1000,500,100,300,1e-05,0.99,0.9,64,3000,"[128, 128]",elu,13,-21.859083330631258,-7.849999934434891,-57.40000006556511
1.0,0.01,8000,3000,500,42,10,10,5,19,4,1000,500,100,300,1e-05,0.99,0.9,128,3000,"[64, 64, 64]",elu,14,-22.087549967100223,-6.799999952316284,-65.40000033378601
1.0,0.01,8000,3000,500,42,10,10,5,19,4,1000,500,100,300,1e-05,0.99,0.9,128,3000,"[128, 128]",elu,15,-22.356216656953098,-7.7499998807907104,-58.100000232458115
