epsilon_start,epsilon_min,replay_buffer_size,steps_per_episode,target_update_freq,random_seed,maze_width,maze_height,maze_imperfections,input_dim,n_outputs,log_every,q_log_every,plot_every,train_after,learning_rate,gamma,epsilon_decay_episodes,batch_size,episodes,hidden_layers,activation,run_id,mean_reward,max_reward,min_reward
1.0,0.01,10000,3000,500,42,10,10,5,19,4,1000,500,100,1000,5e-05,0.96,0.9,128,3000,"[64, 64, 64]",elu,0,-18.42689998958508,6.200000166893005,-63.54999986290932
1.0,0.01,10000,3000,500,42,10,10,5,19,4,1000,500,100,1000,5e-05,0.96,0.9,128,3000,"[128, 128]",elu,1,-18.087066665679217,0.20000022649765015,-64.65000051259995
1.0,0.01,10000,3000,500,42,10,10,5,19,4,1000,500,100,1000,5e-05,0.96,0.9,128,3000,"[64, 128, 128]",elu,2,-18.337533319324255,-1.2999999821186066,-61.29999992251396
1.0,0.01,10000,3000,500,42,10,10,5,19,4,1000,500,100,1000,5e-05,0.96,0.9,128,2000,"[64, 64, 64]",elu,3,-19.656899950817227,0.20000016689300537,-49.94999998807907
1.0,0.01,10000,3000,500,42,10,10,5,19,4,1000,500,100,1000,5e-05,0.96,0.9,128,2000,"[128, 128]",elu,4,-18.618299996346234,-3.699999839067459,-56.150000244379044
1.0,0.01,10000,3000,500,42,10,10,5,19,4,1000,500,100,1000,5e-05,0.96,0.9,128,2000,"[64, 128, 128]",elu,5,-18.308274984493853,-2.999999850988388,-59.05000025033951
1.0,0.01,10000,3000,500,42,10,10,5,19,4,1000,500,100,1000,1e-05,0.96,0.9,128,3000,"[64, 64, 64]",elu,6,-20.547883312304815,-8.649999856948853,-53.900000154972076
1.0,0.01,10000,3000,500,42,10,10,5,19,4,1000,500,100,1000,1e-05,0.96,0.9,128,3000,"[128, 128]",elu,7,-19.248283311049143,-5.89999994635582,-55.35000038146973
1.0,0.01,10000,3000,500,42,10,10,5,19,4,1000,500,100,1000,1e-05,0.96,0.9,128,3000,"[64, 128, 128]",elu,8,-19.325283307284117,-5.35000005364418,-61.249999940395355
1.0,0.01,10000,3000,500,42,10,10,5,19,4,1000,500,100,1000,1e-05,0.96,0.9,128,2000,"[64, 64, 64]",elu,9,-21.73389997820556,-7.549999952316284,-58.85000026226044
1.0,0.01,10000,3000,500,42,10,10,5,19,4,1000,500,100,1000,1e-05,0.96,0.9,128,2000,"[128, 128]",elu,10,-22.104874941766262,-7.449999988079071,-55.30000028014183
1.0,0.01,10000,3000,500,42,10,10,5,19,4,1000,500,100,1000,1e-05,0.96,0.9,128,2000,"[64, 128, 128]",elu,11,-20.60239996831119,-6.5,-62.89999973773956
1.0,0.01,10000,3000,500,42,10,10,5,19,4,1000,500,100,1000,1e-06,0.96,0.9,128,3000,"[64, 64, 64]",elu,12,-25.79328330475092,-7.699999928474426,-63.00000038743019
1.0,0.01,10000,3000,500,42,10,10,5,19,4,1000,500,100,1000,1e-06,0.96,0.9,128,3000,"[128, 128]",elu,13,-21.433983373731376,-7.299999952316284,-73.5500006377697
1.0,0.01,10000,3000,500,42,10,10,5,19,4,1000,500,100,1000,1e-06,0.96,0.9,128,3000,"[64, 128, 128]",elu,14,-23.50458332701524,-8.600000023841858,-49.35000002384186
1.0,0.01,10000,3000,500,42,10,10,5,19,4,1000,500,100,1000,1e-06,0.96,0.9,128,2000,"[64, 64, 64]",elu,15,-23.420149980291725,-9.099999994039536,-63.60000032186508
1.0,0.01,10000,3000,500,42,10,10,5,19,4,1000,500,100,1000,1e-06,0.96,0.9,128,2000,"[128, 128]",elu,16,-22.47139999832213,-7.899999976158142,-54.40000033378601
1.0,0.01,10000,3000,500,42,10,10,5,19,4,1000,500,100,1000,1e-06,0.96,0.9,128,2000,"[64, 128, 128]",elu,17,-21.489349942147733,-8.049999862909317,-55.44999980926514
1.0,0.01,10000,3000,500,42,10,10,5,19,4,1000,500,100,1000,0.0001,0.96,0.9,128,3000,"[64, 64, 64]",elu,18,-18.09971664533019,-3.399999886751175,-57.30000004172325
1.0,0.01,10000,3000,500,42,10,10,5,19,4,1000,500,100,1000,0.0001,0.96,0.9,128,3000,"[128, 128]",elu,19,-18.245783323357504,3.600000023841858,-57.64999982714653
1.0,0.01,10000,3000,500,42,10,10,5,19,4,1000,500,100,1000,0.0001,0.96,0.9,128,3000,"[64, 128, 128]",elu,20,-12.612216720491647,75.04999876022339,-57.899999886751175
1.0,0.01,10000,3000,500,42,10,10,5,19,4,1000,500,100,1000,0.0001,0.96,0.9,128,2000,"[64, 64, 64]",elu,21,-19.36692499406636,-5.650000035762787,-44.25000023841858
1.0,0.01,10000,3000,500,42,10,10,5,19,4,1000,500,100,1000,0.0001,0.96,0.9,128,2000,"[128, 128]",elu,22,-18.605074951156976,3.2500002682209015,-53.50000014901161
1.0,0.01,10000,3000,500,42,10,10,5,19,4,1000,500,100,1000,0.0001,0.96,0.9,128,2000,"[64, 128, 128]",elu,23,-15.951674987778068,71.04999861121178,-60.75000023841858
